"Fundplatz";"Ausgrabungqualität";"Ausgrabungsjahr";"Ausgräber"
766;4;1990;1
768;2;1985;2
768;3;1830;507
768;3;1840;503
768;3;1877;508
768;3;1900;506
768;4;1977;1
768;4;1979;1
768;4;1981;1
768;4;1990;1
768;4;1991;1
769;3;1898;509
769;3;1900;510
769;3;1900;511
769;4;1978;1
769;4;1981;1
769;4;1991;1
770;2;1940;430
770;2;1989;2
770;2;1995;2
770;2;1996;2
770;3;1788;512
770;3;1789;513
770;3;1828;502
770;3;1828;514
770;3;1841;515
770;3;1848;516
770;3;1886;517
770;3;1888;431
770;3;1890;431
770;4;1953;1
770;4;1991;1
770;4;1992;1
770;4;1995;1
771;4;1991;1
772;2;1992;2
772;4;1988;1
773;2;1991;2
773;4;1990;1
774;4;1993;1
775;2;1935;430
775;2;1994;2
775;3;1865;518
775;3;1876;199
775;3;1877;199
775;3;1878;199
775;3;1879;199
775;3;1888;431
775;3;1889;431
775;3;1908;519
776;4;1994;1
777;4;1993;1
778;3;1840;1
778;3;1891;17
778;3;1908;519
778;3;1911;519
778;3;1913;519
778;3;1916;519
778;4;1980;1
779;4;1957;1
779;4;1994;1
780;4;1993;1
781;4;1993;1
782;2;1994;2
782;2;1996;2
783;4;1979;1
783;4;1995;1
784;4;1996;1
785;4;1996;1
786;4;1995;1
787;4;1995;1
788;4;1996;1
789;2;1996;2
789;2;1997;2
790;2;1940;430
790;4;1999;1
791;4;1996;1
792;4;1995;1
793;2;1949;520
793;2;1950;520
793;3;1835;501
793;3;1835;502
793;4;1977;1
794;3;1835;521
794;3;1836;522
794;3;1840;503
794;3;1843;549
794;3;1880;524
794;3;1935;99
794;4;1977;1
794;4;1987;1
795;2;1970;2
795;4;1977;1
795;4;1979;1
796;4;1979;1
797;2;1966;2
797;2;1967;2
797;2;1968;2
797;2;1969;2
797;2;1970;2
797;4;1979;1
798;2;1979;2
800;3;1920;519
800;3;1922;519
800;3;1927;519
800;3;1935;519
800;4;1952;1
800;4;1970;1
801;4;1981;1
802;4;1956;1
802;4;1957;1
802;4;1962;1
802;4;1972;1
802;4;1976;1
802;4;1981;1
803;2;1981;2
803;2;1982;2
804;2;1986;2
804;4;1978;1
804;4;1981;1
804;4;1983;1
805;2;1989;2
805;2;1990;2
805;2;1991;2
805;2;1992;2
805;4;1981;1
805;4;1987;1
805;4;1999;1
806;4;1988;1
807;4;1965;1
807;4;1983;1
808;2;1983;2
809;1;1908;15
809;1;1912;15
809;1;1922;15
809;3;1843;525
809;3;1844;526
809;3;1882;519
809;3;1882;527
809;3;1884;116
809;3;1891;528
809;4;1983;1
810;2;1986;2
810;3;1909;529
810;3;1950;530
811;4;1985;1
812;3;1953;423
812;3;1953;424
813;3;1924;531
814;2;1973;2
815;4;1911;1
816;4;1843;1
816;4;1964;1
817;3;1879;199
818;3;1905;17
819;4;1987;1
820;4;1935;1
821;3;1827;532
821;3;1828;501
821;3;1830;533
821;3;1832;502
821;3;1861;319
821;3;1862;534
821;3;1908;529
821;3;1911;529
821;3;1922;535
821;3;1923;535
821;3;1924;535
821;3;1925;535
821;4;1991;1
824;3;1827;501
824;3;1828;501
824;3;1831;502
825;3;1912;675
827;4;1913;1
828;4;1910;1
829;3;1840;503
831;2;1921;536
831;3;1876;199
831;3;1877;199
834;3;1876;199
834;3;1877;199
836;3;1825;537
836;3;1826;502
836;3;1827;518
841;3;1874;199
843;3;1907;15
844;3;1842;538
844;3;1843;538
844;3;1846;516
846;3;1835;521
847;3;1755;540
847;3;1829;518
847;3;1848;516
847;3;1885;431
847;3;1885;539
849;3;1875;541
849;3;1876;199
849;3;1877;199
849;3;1878;199
849;3;1879;199
849;3;1888;431
850;3;1876;199
850;3;1877;199
852;3;1882;199
855;3;1879;199
857;3;1880;199
859;3;1882;199
860;3;1878;199
860;3;1880;199
860;3;1880;542
862;3;1880;199
863;3;1880;542
865;3;1879;199
867;3;1809;543
867;3;1819;544
867;3;1827;502
867;3;1828;502
867;3;1829;518
867;3;1876;199
867;3;1877;199
868;3;1874;199
868;3;1874;545
869;2;1943;430
871;3;1878;199
872;2;1943;430
874;3;1872;1
874;3;1873;1
874;3;1874;1
874;3;1875;1
874;3;1877;546
874;3;1880;547
874;3;1881;524
874;3;1883;548
874;3;1886;438
874;3;1888;546
874;3;1888;548
874;3;1895;546
874;3;1898;546
874;3;1906;45
874;3;1907;45
874;3;1908;45
874;3;1909;45
874;3;1910;45
875;2;1962;2
875;3;1902;546
876;2;1983;2
877;3;1842;549
877;3;1845;549
877;3;1883;546
877;3;1887;438
877;3;1887;550
878;3;1845;551
878;3;1852;552
879;3;1885;547
881;3;1878;199
882;3;1858;553
883;3;1888;554
884;3;1887;554
884;3;1888;431
884;3;1889;431
886;3;1878;199
887;4;1969;1
888;4;1970;1
889;2;1972;2
890;4;1974;1
891;2;1951;555
894;3;1880;199
895;3;1900;1
896;3;1880;542
897;4;1927;1
897;5;1900;1
898;3;1932;519
899;3;1883;519
899;3;1888;17
899;3;1905;112
899;3;1905;113
899;3;1912;15
900;4;1926;1
901;3;1820;525
901;3;1842;556
901;3;1891;17
901;3;1892;17
902;3;1835;1
902;3;1889;1
904;3;1830;1
904;3;1941;20
905;2;1956;2
906;3;1936;519
906;3;1939;557
906;3;1939;558
908;3;1888;431
910;3;1827;502
912;2;1954;440
913;4;1968;1
914;3;1843;559
914;3;1844;559
914;3;1845;559
914;3;1875;545
914;3;1885;431
915;1;1934;260
915;1;1935;260
915;3;1886;431
915;3;1887;431
915;3;1888;431
915;3;1889;431
915;3;1890;431
915;3;1923;99
915;3;1924;430
915;4;1999;1
916;2;1958;2
916;2;1963;2
916;4;1954;1
917;3;1932;99
918;2;1975;2
918;5;1966;1
919;2;1963;2
919;3;1935;260
921;2;1928;2
922;3;1843;560
923;3;1912;1
924;3;1907;1
925;3;1930;260
926;3;1885;510
926;3;1890;431
927;3;1889;431
927;3;1890;431
928;3;1900;561
929;3;1888;431
931;3;1840;503
933;3;1840;503
934;3;1840;503
935;3;1840;1
936;4;1960;1
937;3;1840;503
938;3;1842;503
939;4;1958;1
940;3;1886;562
941;4;1847;1
942;3;1860;1
942;3;1913;563
942;3;1916;166
942;3;1934;260
942;3;1935;260
943;3;1949;260
944;3;1845;503
945;3;1938;564
946;3;1845;503
948;2;1937;2
948;3;1894;565
948;3;1895;565
948;3;1896;565
949;2;1936;2
950;2;1937;2
950;2;1938;2
950;2;1939;2
951;3;1900;565
952;3;1840;503
953;3;1845;503
953;3;1889;431
953;3;1900;565
954;3;1842;560
954;3;1850;503
954;3;1861;560
954;3;1880;25
954;3;1880;373
954;3;1881;25
954;3;1881;566
954;3;1881;567
956;3;1841;1
956;3;1853;560
956;3;1854;560
956;3;1890;431
956;4;1990;1
957;3;1839;503
959;3;1840;503
960;3;1839;503
962;2;1965;1
962;3;1839;503
1254;3;1882;373
1255;3;1831;375
1255;3;1882;373
1255;3;1926;99
1256;3;1926;99
1257;2;1993;429
1257;2;1994;429
1257;2;1995;429
1257;2;1996;429
1258;2;1956;2
1258;2;1969;2
1258;2;1977;2
1258;2;1999;2
1261;2;1982;429
1261;2;1989;429
1261;2;1990;429
1261;4;1980;1
1263;2;1986;2
1263;4;1984;1
1264;2;1975;2
1264;2;1992;429
1264;3;1831;374
1264;3;1882;373
1265;2;1978;429
1265;3;1929;99
1266;4;1929;1
1266;4;1957;1
1266;4;1958;1
1266;4;1963;1
1267;3;1833;1
1268;2;1983;1
1269;3;1898;338
1270;2;1988;429
1270;2;1989;429
1270;4;1987;1
1272;3;1824;388
1272;3;1824;426
1272;3;1825;427
1272;3;1874;1
1272;3;1879;1
1272;4;2000;1
1273;2;1978;2
1273;2;1985;2
1273;2;2000;429
1273;2;2001;2
1273;4;1976;1
1273;4;1987;1
1274;2;1980;2
1274;2;1981;2
1274;2;1982;2
1274;2;1986;2
1274;2;1993;2
1275;2;1954;2
1275;2;1955;2
1277;2;1968;684
1277;2;1974;2
1277;2;1976;2
1277;2;1978;2
1277;4;1930;1
1279;2;1979;2
1280;3;1903;1
1281;2;1991;2
1282;4;1994;1
1283;2;1988;429
1284;2;1979;2
1284;2;2001;2
1285;4;1964;1
1286;4;1983;1
1287;2;1977;2
1288;3;1882;314
1288;3;1900;314
1290;3;1944;312
1293;2;1998;429
1294;4;1879;1
1295;2;1986;429
1296;4;1991;1
1297;2;1993;2
1297;4;1992;1
1299;4;1995;1
1300;3;1825;376
1301;3;1907;99
1302;3;1898;295
1303;3;1896;295
1303;3;1897;295
1303;3;1898;295
1303;4;1958;1
1304;3;1897;295
1304;3;1898;295
1304;3;1901;295
1305;3;1817;422
1305;3;1822;422
1306;2;1966;2
1307;3;1901;295
1307;3;1906;315
1309;3;1901;316
1309;3;1902;311
1309;3;1904;317
1309;3;1936;20
1309;3;1936;322
1309;4;1870;1
1309;4;1951;1
1310;3;1903;311
1311;2;1982;2
1311;4;1980;1
1312;3;1901;316
1312;3;1902;316
1313;3;1886;382
1313;3;1888;382
1316;4;1952;1
1316;4;1953;1
1316;4;1954;1
1318;3;1885;1
1319;3;1897;292
1319;4;1893;1
1320;4;1937;1
1321;4;1854;1
1322;2;1968;683
1322;2;1970;2
1322;3;1826;1
1322;3;1854;1
1322;3;1856;1
1324;3;1854;294
1324;3;1897;292
1325;3;1898;292
1326;3;1902;1
1326;3;1903;1
1327;3;1909;166
1327;3;1910;166
1328;3;1871;1
1328;3;1886;332
1328;3;1890;332
1328;3;1896;22
1330;4;1992;1
1332;3;1870;383
1332;3;1936;99
1333;3;1875;384
1333;3;1900;381
1333;3;1901;385
1334;3;1827;379
1334;3;1838;377
1334;3;1838;378
1335;3;1932;99
1335;3;1933;99
1336;3;1838;378
1336;3;1925;99
1337;3;1875;383
1338;3;1860;387
1338;3;1874;334
1338;3;1874;384
1338;3;1875;334
1338;3;1875;384
1338;3;1880;386
1338;3;1890;334
1338;3;1890;384
1338;3;1891;334
1338;3;1891;384
1338;3;1892;334
1338;3;1892;384
1339;5;1912;1
1339;5;1917;1
1339;5;1972;1
1341;2;1962;2
1343;4;1966;1
1344;3;1857;380
1344;3;1906;381
1345;3;1906;381
1346;2;1968;2
1348;2;1977;2
1349;4;1995;1
1350;3;1881;292
1350;3;1885;292
1350;3;1885;293
1350;3;1897;292
1351;4;1927;1
1354;3;1900;295
1354;3;1901;295
1354;3;1902;295
1354;3;1903;295
1354;3;1907;295
1357;2;1967;1
1357;2;1968;1
1357;2;1969;1
1357;4;1953;1
1358;4;1880;1
1359;3;1855;1
1359;3;1894;292
1360;3;1841;1
1361;3;1930;99
1363;4;1938;1
1364;3;1903;120
1364;3;1903;333
1365;3;1875;334
1365;3;1876;335
1366;2;1983;2
1366;3;1907;1
1368;4;1989;1
