"Fundplatz";"Gebiet"
1642,00;11,00
1643,00;11,00
1671,00;10,00
2946,00;11,00
1644,00;11,00
1580,00;11,00
1581,00;11,00
1683,00;11,00
1684,00;11,00
1744,00;11,00
1745,00;11,00
1709,00;11,00
1622,00;10,00
1620,00;10,00
1619,00;10,00
1645,00;11,00
1746,00;11,00
1747,00;11,00
1623,00;10,00
1685,00;11,00
1686,00;11,00
1672,00;10,00
1750,00;8,00
2887,00;8,00
2649,00;8,00
2648,00;8,00
2268,00;8,00
2289,00;8,00
2260,00;8,00
2025,00;8,00
1752,00;8,00
2948,00;8,00
2957,00;8,00
2287,00;8,00
2978,00;8,00
2286,00;8,00
1753,00;8,00
1754,00;8,00
3058,00;8,00
1755,00;6,00
1756,00;7,00
1760,00;7,00
1759,00;7,00
1761,00;7,00
1762,00;7,00
1763,00;10,00
1764,00;7,00
1765,00;7,00
1766,00;10,00
1768,00;8,00
1767,00;8,00
1769,00;7,00
1770,00;8,00
1771,00;8,00
1773,00;8,00
1772,00;8,00
1774,00;8,00
1776,00;8,00
1775,00;8,00
1777,00;8,00
1778,00;7,00
1779,00;7,00
1780,00;7,00
1781,00;7,00
1782,00;7,00
1783,00;7,00
1784,00;7,00
1785,00;7,00
1786,00;6,00
1787,00;7,00
1788,00;6,00
1790,00;7,00
1792,00;6,00
1791,00;6,00
1793,00;6,00
1794,00;7,00
1795,00;6,00
2971,00;8,00
1799,00;8,00
1800,00;8,00
1817,00;8,00
1801,00;8,00
1802,00;8,00
1804,00;8,00
1803,00;8,00
1806,00;8,00
1805,00;8,00
1808,00;8,00
1807,00;8,00
1809,00;8,00
1814,00;8,00
1813,00;8,00
1812,00;8,00
1811,00;8,00
1810,00;8,00
2936,00;8,00
1816,00;8,00
2967,00;8,00
1818,00;8,00
1829,00;8,00
1830,00;8,00
1832,00;8,00
1831,00;8,00
1833,00;8,00
1834,00;8,00
3095,00;8,00
3087,00;8,00
1836,00;8,00
1837,00;8,00
1838,00;8,00
1839,00;8,00
1840,00;8,00
1841,00;7,00
2995,00;8,00
1842,00;8,00
1844,00;8,00
1845,00;8,00
1846,00;8,00
1843,00;8,00
1847,00;10,00
1848,00;10,00
1849,00;8,00
1850,00;10,00
1851,00;10,00
1852,00;10,00
1853,00;10,00
1854,00;10,00
1855,00;10,00
1856,00;10,00
1857,00;10,00
1859,00;10,00
1858,00;10,00
1861,00;10,00
1862,00;10,00
1864,00;8,00
1863,00;8,00
1865,00;10,00
1867,00;10,00
1866,00;10,00
3040,00;10,00
1868,00;8,00
2945,00;10,00
1869,00;10,00
1936,00;8,00
1937,00;8,00
1940,00;8,00
1939,00;8,00
1941,00;8,00
1938,00;8,00
1942,00;10,00
1943,00;10,00
1944,00;10,00
1945,00;10,00
1946,00;10,00
1947,00;10,00
1948,00;10,00
1949,00;10,00
1952,00;8,00
1951,00;8,00
1950,00;10,00
1953,00;8,00
1954,00;10,00
1956,00;10,00
1957,00;10,00
2970,00;10,00
2956,00;10,00
1958,00;10,00
1955,00;10,00
1789,00;7,00
1963,00;8,00
1961,00;8,00
1962,00;8,00
1960,00;8,00
1970,00;8,00
1964,00;8,00
1967,00;8,00
1968,00;8,00
1969,00;8,00
2017,00;8,00
2012,00;8,00
2013,00;8,00
2986,00;13,00
2024,00;8,00
2026,00;8,00
2021,00;8,00
2341,00;8,00
2342,00;8,00
2343,00;8,00
2345,00;8,00
2346,00;8,00
2347,00;8,00
2028,00;8,00
2029,00;8,00
2030,00;8,00
2027,00;8,00
2065,00;8,00
2032,00;8,00
2033,00;8,00
2031,00;8,00
2061,00;8,00
2064,00;8,00
2060,00;8,00
2059,00;8,00
2066,00;8,00
2067,00;8,00
2063,00;8,00
2068,00;8,00
2069,00;8,00
2073,00;8,00
2070,00;8,00
2071,00;8,00
2072,00;8,00
2136,00;8,00
2987,00;8,00
1740,00;11,00
1737,00;11,00
1736,00;11,00
2169,00;8,00
2151,00;8,00
2160,00;8,00
2150,00;8,00
2166,00;8,00
2168,00;8,00
2155,00;8,00
2170,00;8,00
2171,00;8,00
2172,00;8,00
2167,00;8,00
2153,00;8,00
2219,00;8,00
2220,00;8,00
2221,00;8,00
2119,00;8,00
2164,00;8,00
2165,00;8,00
2173,00;8,00
2135,00;8,00
2266,00;8,00
2149,00;8,00
2137,00;8,00
2138,00;8,00
2226,00;8,00
2154,00;8,00
2213,00;8,00
2217,00;8,00
2218,00;8,00
2214,00;8,00
2224,00;8,00
2023,00;8,00
2139,00;8,00
2118,00;8,00
2223,00;8,00
2159,00;8,00
2215,00;8,00
2148,00;8,00
2216,00;8,00
2212,00;8,00
2157,00;8,00
2158,00;8,00
2156,00;8,00
2152,00;8,00
2225,00;8,00
2227,00;8,00
2230,00;8,00
2233,00;8,00
2993,00;13,00
2248,00;13,00
2249,00;13,00
2251,00;13,00
2252,00;13,00
2285,00;8,00
2290,00;8,00
2296,00;8,00
2019,00;8,00
2304,00;8,00
2303,00;8,00
2302,00;8,00
2300,00;8,00
2295,00;8,00
2294,00;8,00
2293,00;8,00
2292,00;8,00
2291,00;8,00
2299,00;8,00
2324,00;8,00
2325,00;8,00
2994,00;8,00
2327,00;8,00
2328,00;8,00
3024,00;8,00
1835,00;7,00
2256,00;13,00
2257,00;13,00
2991,00;13,00
2245,00;13,00
2246,00;13,00
2247,00;13,00
2258,00;13,00
2526,00;6,00
2537,00;6,00
2539,00;5,00
2927,00;5,00
2538,00;6,00
2635,00;13,00
2636,00;13,00
2637,00;13,00
2639,00;13,00
2640,00;13,00
2894,00;13,00
2895,00;13,00
2638,00;13,00
2644,00;13,00
2634,00;13,00
2650,00;13,00
2899,00;13,00
2652,00;13,00
2653,00;13,00
2654,00;13,00
2656,00;13,00
2655,00;13,00
2657,00;13,00
2658,00;13,00
2659,00;13,00
2660,00;13,00
2661,00;13,00
2662,00;13,00
2663,00;13,00
2664,00;13,00
2665,00;13,00
2666,00;13,00
2943,00;13,00
2667,00;13,00
2942,00;13,00
2668,00;13,00
3122,00;13,00
2669,00;11,00
2734,00;11,00
2733,00;11,00
2732,00;11,00
2729,00;11,00
2731,00;11,00
2730,00;11,00
2735,00;8,00
2736,00;11,00
2926,00;11,00
2737,00;11,00
2738,00;11,00
2742,00;12,00
2739,00;12,00
2741,00;12,00
2740,00;12,00
2754,00;12,00
2755,00;12,00
2756,00;12,00
2757,00;12,00
2758,00;12,00
2761,00;12,00
2759,00;12,00
2760,00;11,00
2763,00;12,00
2903,00;13,00
2958,00;12,00
3113,00;12,00
2962,00;12,00
2764,00;12,00
2765,00;12,00
2766,00;11,00
2767,00;13,00
2768,00;11,00
2769,00;13,00
2770,00;12,00
2771,00;12,00
2773,00;12,00
2772,00;12,00
2774,00;12,00
2775,00;11,00
2777,00;12,00
2779,00;12,00
2778,00;12,00
2776,00;12,00
2780,00;12,00
2781,00;12,00
2782,00;8,00
2790,00;11,00
2789,00;11,00
2783,00;11,00
2784,00;11,00
2972,00;11,00
2985,00;11,00
3117,00;11,00
2785,00;11,00
2786,00;8,00
2788,00;8,00
2787,00;8,00
2791,00;11,00
2792,00;11,00
2794,00;11,00
2793,00;11,00
2795,00;11,00
2796,00;11,00
2797,00;12,00
2798,00;12,00
2799,00;12,00
2801,00;12,00
2800,00;12,00
2802,00;12,00
2803,00;12,00
3047,00;12,00
2827,00;12,00
2826,00;12,00
2825,00;12,00
2806,00;12,00
2807,00;12,00
2809,00;12,00
3115,00;12,00
2810,00;12,00
2808,00;12,00
2811,00;11,00
2814,00;11,00
2812,00;11,00
2813,00;11,00
2815,00;11,00
2816,00;11,00
2821,00;11,00
2817,00;11,00
2819,00;11,00
2818,00;11,00
2820,00;11,00
2965,00;12,00
2822,00;12,00
2830,00;12,00
2823,00;12,00
2829,00;12,00
2824,00;12,00
2828,00;12,00
2831,00;12,00
2838,00;12,00
2833,00;12,00
2832,00;12,00
2834,00;12,00
2835,00;12,00
2836,00;12,00
2837,00;12,00
2839,00;12,00
2840,00;12,00
2841,00;12,00
2843,00;12,00
2842,00;12,00
2845,00;12,00
2844,00;12,00
2846,00;12,00
2847,00;12,00
2848,00;12,00
2850,00;12,00
2849,00;12,00
2851,00;12,00
2855,00;12,00
2854,00;12,00
2856,00;12,00
2853,00;12,00
2852,00;12,00
2858,00;12,00
2861,00;12,00
2860,00;12,00
2859,00;12,00
2857,00;12,00
2862,00;12,00
2866,00;12,00
2865,00;12,00
2863,00;12,00
2864,00;12,00
2867,00;12,00
2868,00;12,00
2870,00;12,00
2869,00;12,00
2871,00;12,00
2969,00;12,00
2874,00;12,00
2873,00;12,00
2872,00;12,00
2930,00;12,00
2884,00;12,00
2881,00;12,00
2882,00;12,00
2883,00;12,00
2885,00;12,00
2255,00;13,00
2886,00;13,00
2253,00;13,00
3121,00;13,00
2888,00;13,00
2889,00;12,00
2890,00;12,00
2892,00;13,00
2896,00;13,00
2897,00;13,00
2633,00;13,00
3124,00;13,00
2546,00;13,00
2632,00;13,00
2921,00;12,00
2925,00;13,00
2928,00;8,00
2975,00;8,00
3091,00;8,00
2929,00;13,00
2931,00;12,00
2932,00;8,00
2934,00;12,00
2935,00;12,00
2937,00;13,00
2939,00;8,00
2940,00;8,00
2980,00;8,00
2111,00;8,00
3090,00;8,00
2022,00;8,00
2941,00;8,00
2944,00;10,00
2947,00;8,00
2222,00;8,00
2162,00;8,00
2163,00;8,00
2161,00;8,00
2966,00;12,00
2951,00;8,00
2954,00;12,00
2955,00;12,00
2960,00;13,00
2959,00;13,00
2961,00;9,00
2963,00;12,00
2144,00;8,00
2147,00;8,00
2142,00;8,00
2143,00;8,00
2146,00;8,00
2145,00;8,00
2140,00;8,00
2141,00;8,00
2964,00;8,00
2876,00;12,00
2968,00;12,00
2114,00;8,00
2973,00;8,00
2081,00;8,00
3093,00;8,00
3103,00;8,00
2974,00;8,00
3102,00;8,00
2976,00;12,00
2977,00;12,00
2979,00;8,00
2113,00;8,00
2112,00;8,00
2082,00;8,00
2080,00;8,00
2982,00;12,00
2983,00;13,00
2641,00;13,00
3114,00;12,00
2988,00;11,00
2989,00;13,00
2990,00;13,00
2992,00;13,00
2996,00;6,00
2997,00;12,00
1959,00;8,00
2018,00;8,00
1966,00;8,00
1965,00;8,00
2297,00;8,00
2319,00;8,00
3092,00;8,00
2298,00;8,00
1971,00;8,00
2316,00;8,00
2301,00;8,00
2315,00;8,00
2317,00;8,00
2318,00;8,00
2320,00;8,00
2305,00;8,00
2326,00;8,00
2322,00;8,00
2323,00;8,00
2321,00;8,00
2020,00;8,00
2643,00;13,00
2265,00;8,00
2645,00;8,00
2646,00;8,00
2647,00;8,00
2083,00;8,00
2174,00;8,00
2076,00;8,00
2077,00;8,00
2078,00;8,00
2079,00;8,00
2117,00;8,00
2228,00;13,00
2229,00;8,00
1796,00;8,00
1797,00;8,00
2232,00;8,00
2231,00;8,00
2250,00;13,00
2254,00;13,00
2062,00;8,00
2074,00;8,00
2075,00;8,00
2015,00;8,00
2014,00;8,00
2016,00;8,00
3037,00;7,00
3038,00;5,00
3046,00;13,00
3120,00;13,00
3048,00;13,00
3055,00;6,00
3057,00;12,00
3059,00;12,00
3061,00;12,00
2762,00;12,00
3112,00;12,00
3060,00;12,00
3088,00;11,00
2984,00;12,00
3118,00;13,00
3119,00;13,00
3123,00;13,00
7,00;4,00
721,00;11,00
501,00;4,00
502,00;3,00
695,00;3,00
2672,00;3,00
2670,00;3,00
13,00;3,00
504,00;3,00
503,00;3,00
17,00;3,00
694,00;3,00
16,00;3,00
3074,00;2,00
19,00;2,00
3000,00;2,00
2998,00;3,00
20,00;3,00
3054,00;3,00
506,00;3,00
24,00;3,00
696,00;4,00
32,00;1,00
615,00;4,00
612,00;4,00
614,00;4,00
722,00;4,00
616,00;3,00
723,00;4,00
617,00;4,00
57,00;4,00
59,00;1,00
3072,00;1,00
2904,00;6,00
2689,00;6,00
61,00;6,00
60,00;6,00
63,00;4,00
64,00;4,00
62,00;4,00
618,00;3,00
66,00;3,00
70,00;1,00
507,00;3,00
619,00;3,00
620,00;3,00
621,00;2,00
622,00;3,00
3008,00;3,00
84,00;3,00
89,00;3,00
90,00;3,00
623,00;4,00
624,00;3,00
508,00;3,00
3002,00;3,00
2671,00;3,00
510,00;3,00
509,00;3,00
103,00;3,00
625,00;4,00
740,00;3,00
3029,00;3,00
2746,00;3,00
511,00;10,00
116,00;10,00
3016,00;10,00
2690,00;10,00
115,00;10,00
120,00;6,00
3071,00;3,00
121,00;3,00
3017,00;3,00
124,00;1,00
125,00;1,00
3079,00;1,00
122,00;1,00
126,00;1,00
123,00;1,00
128,00;3,00
2629,00;4,00
687,00;3,00
3036,00;3,00
133,00;6,00
134,00;6,00
135,00;6,00
136,00;6,00
137,00;3,00
139,00;3,00
138,00;3,00
726,00;3,00
701,00;3,00
633,00;3,00
2750,00;3,00
515,00;3,00
632,00;3,00
634,00;3,00
653,00;4,00
676,00;3,00
636,00;11,00
635,00;3,00
727,00;3,00
643,00;4,00
2518,00;3,00
2673,00;3,00
2674,00;3,00
2675,00;3,00
637,00;3,00
654,00;4,00
628,00;3,00
641,00;3,00
3044,00;3,00
592,00;3,00
3028,00;3,00
3027,00;3,00
2723,00;3,00
678,00;3,00
2724,00;3,00
661,00;4,00
647,00;4,00
648,00;4,00
688,00;3,00
638,00;3,00
662,00;4,00
663,00;4,00
666,00;10,00
649,00;4,00
679,00;3,00
593,00;3,00
664,00;4,00
651,00;4,00
725,00;4,00
741,00;3,00
2747,00;3,00
742,00;3,00
3068,00;3,00
689,00;3,00
680,00;3,00
650,00;4,00
3015,00;4,00
690,00;3,00
658,00;10,00
728,00;4,00
665,00;4,00
554,00;4,00
639,00;3,00
667,00;10,00
2236,00;10,00
644,00;4,00
2694,00;10,00
547,00;10,00
734,00;10,00
2693,00;10,00
629,00;4,00
691,00;3,00
630,00;4,00
640,00;3,00
735,00;3,00
2707,00;3,00
2709,00;3,00
2708,00;3,00
711,00;3,00
712,00;3,00
671,00;3,00
566,00;3,00
626,00;2,00
672,00;4,00
567,00;4,00
2057,00;4,00
2744,00;4,00
528,00;4,00
729,00;4,00
753,00;4,00
2743,00;4,00
3021,00;3,00
589,00;3,00
737,00;3,00
655,00;4,00
681,00;3,00
631,00;4,00
656,00;4,00
594,00;3,00
3101,00;3,00
683,00;3,00
682,00;3,00
595,00;3,00
596,00;3,00
684,00;3,00
744,00;3,00
657,00;4,00
1984,00;10,00
668,00;10,00
610,00;4,00
720,00;4,00
606,00;4,00
607,00;4,00
1979,00;4,00
608,00;4,00
609,00;4,00
685,00;4,00
686,00;4,00
590,00;4,00
677,00;4,00
738,00;4,00
3049,00;11,00
3050,00;11,00
642,00;11,00
1975,00;11,00
660,00;2,00
1927,00;3,00
674,00;3,00
673,00;3,00
3010,00;3,00
714,00;3,00
529,00;4,00
530,00;4,00
531,00;4,00
2745,00;4,00
1922,00;4,00
1923,00;4,00
645,00;4,00
646,00;4,00
693,00;3,00
692,00;3,00
1921,00;3,00
611,00;3,00
2749,00;3,00
652,00;4,00
736,00;3,00
730,00;4,00
739,00;3,00
659,00;3,00
3070,00;3,00
3078,00;3,00
1899,00;3,00
1900,00;3,00
1901,00;3,00
3026,00;3,00
675,00;4,00
732,00;4,00
1884,00;4,00
733,00;4,00
627,00;2,00
548,00;10,00
564,00;4,00
565,00;4,00
551,00;4,00
706,00;4,00
534,00;4,00
2551,00;3,00
3030,00;3,00
519,00;3,00
591,00;3,00
525,00;3,00
707,00;4,00
535,00;4,00
549,00;10,00
2515,00;10,00
2514,00;10,00
518,00;3,00
2508,00;2,00
3052,00;2,00
3109,00;3,00
3108,00;2,00
568,00;3,00
3033,00;3,00
569,00;3,00
3034,00;3,00
3032,00;3,00
2676,00;3,00
2502,00;3,00
2503,00;3,00
521,00;3,00
698,00;4,00
2495,00;4,00
697,00;4,00
512,00;4,00
536,00;4,00
541,00;4,00
709,00;4,00
570,00;3,00
2465,00;3,00
557,00;4,00
558,00;4,00
2430,00;4,00
2918,00;4,00
2429,00;4,00
708,00;4,00
2428,00;4,00
597,00;3,00
3053,00;3,00
3019,00;3,00
598,00;3,00
599,00;3,00
715,00;3,00
2700,00;3,00
571,00;3,00
572,00;3,00
573,00;3,00
555,00;4,00
537,00;4,00
600,00;3,00
601,00;3,00
602,00;3,00
542,00;4,00
538,00;4,00
527,00;3,00
2678,00;3,00
526,00;3,00
704,00;3,00
3031,00;3,00
699,00;4,00
513,00;4,00
514,00;4,00
700,00;3,00
719,00;3,00
3100,00;3,00
2307,00;3,00
516,00;3,00
702,00;3,00
576,00;3,00
716,00;3,00
717,00;3,00
3045,00;3,00
574,00;3,00
718,00;3,00
2269,00;3,00
575,00;3,00
2270,00;3,00
2706,00;3,00
2705,00;3,00
2704,00;3,00
